页码,风格ID,风格名称,类别,开始进入秒,完全展开秒,原始配图
44,hs-092,大头冷脸·叛逆眼神（HS-092）,comic,25.633333333333333,25.8667,references/style-examples/standard/hs-092.png
45,hs-181,90s–00s 手帐·贴纸（HS-181）,diary,26.2,26.4333,references/style-examples/standard/hs-181.png
46,hs-242,等轴测俯视手绘奇幻地图风·精细水墨钢笔轮廓排线（HS-242）,ink,26.8,27.0333,references/style-examples/standard/hs-242.png
47,hs-263,高对比圆形与三角形符号·单眼几何角色（HS-263）,graphic,27.366666666666667,27.6,references/style-examples/standard/hs-263.png
48,hs-183,马克笔叠色·柔和糖果色（HS-183）,crayon,27.966666666666665,28.2,references/style-examples/standard/hs-183.png
49,hs-249,纸雕+折纸+布纹质感3D卡通风·夸张生动五官与趣味身体比例（HS-249）,animation,28.566666666666666,28.8,references/style-examples/standard/hs-249.png
50,whiteboard-explainer,白板讲解动画,line,29.133333333333333,29.3667,references/style-examples/standard/whiteboard-explainer.png
51,hs-047,低饱和冷幽默绘本（HS-047）,gouache,29.733333333333334,29.9667,references/style-examples/standard/hs-047.png
52,hs-225,肌理剪纸拼贴绘本（HS-225）,collage,30.3,30.5333,references/style-examples/standard/hs-225.png
53,hs-088,透明留白水彩（HS-088）,watercolor,30.9,31.1333,references/style-examples/standard/hs-088.png
54,hs-269,有力的铅笔轮廓·红黄暖色大形（HS-269）,print,31.5,31.7333,references/style-examples/standard/hs-269.png
55,hs-239,80年代末日本黑暗赛博朋克OVA赛璐珞动画风·锐利手绘勾线（HS-239）,comic,32.06666666666667,32.3,references/style-examples/standard/hs-239.png
56,hs-255,现代极简水墨与高对比度红黑插画风·粗粝松弛的宣纸焦墨飞白干笔（HS-255）,ink,32.666666666666664,32.9,references/style-examples/standard/hs-255.png
57,hs-265,二维装饰性曲线·民俗几何纹样（HS-265）,graphic,33.233333333333334,33.4667,references/style-examples/standard/hs-265.png
58,hs-218,60-70年代复古儿童绘本插画感·夸张大眼睛与生动面部特征（HS-218）,crayon,33.833333333333336,34.0667,references/style-examples/standard/hs-218.png
59,hs-003,城市细线小景（HS-003）,line,34.4,34.6333,references/style-examples/standard/hs-003.png
60,hs-226,温暖厚涂水粉动画插画风·松弛可见的干湿画笔笔触（HS-226）,gouache,35.0,35.2333,references/style-examples/standard/hs-226.png
61,hs-272,纸雕，角色高度概括·比例略夸张（HS-272）,collage,35.6,35.8333,references/style-examples/standard/hs-272.png
62,hs-128,四季旅行水彩日记（HS-128）,watercolor,36.166666666666664,36.4,references/style-examples/standard/hs-128.png
63,hs-275,暖象牙色纤维旧纸底（HS-275）,print,36.766666666666666,37.0,references/style-examples/standard/hs-275.png
64,hs-260,潮流风格化日系动漫插画风·利落流畅的手绘线稿（HS-260）,comic,37.333333333333336,37.5667,references/style-examples/standard/hs-260.png
65,hs-257,浪漫粉调新东风水墨晕染风·柔和半透明水粉水彩层次（HS-257）,ink,37.93333333333333,38.1667,references/style-examples/standard/hs-257.png
66,hs-274,手绘火柴人漫画（HS-274）,graphic,38.53333333333333,38.7667,references/style-examples/standard/hs-274.png
67,hs-258,现代极简绘本插画风·大面积同色系连续环境主导画面（HS-258）,crayon,39.1,39.3333,references/style-examples/standard/hs-258.png
68,hs-085,极简时尚线描（HS-085）,line,39.7,39.9333,references/style-examples/standard/hs-085.png
69,hs-266,新自然系童话绘本插画（HS-266）,gouache,40.266666666666666,40.5,references/style-examples/standard/hs-266.png
70,hs-273,角色高度概括·比例略夸张（HS-273）,collage,40.86666666666667,41.1,references/style-examples/standard/hs-273.png
71,hs-223,手绘水彩贴纸风·圆形模切与干净白边边框（HS-223）,watercolor,41.46666666666667,41.7,references/style-examples/standard/hs-223.png
72,hs-235,爱德华时代复古时尚墨水插画风·精美利落的钢笔排线与羽化阴影（HS-235）,line,42.03333333333333,42.2667,references/style-examples/standard/hs-235.png
73,hs-254,几米绘本插画风·大面积纯净留白与空灵通透构图（HS-254）,watercolor,42.63333333333333,42.8667,references/style-examples/standard/hs-254.png
74,hs-264,棱角分明的粗糙钢笔线·枯枝般交叉排线（HS-264）,line,43.2,43.4333,references/style-examples/standard/hs-264.png
75,hs-277,中国老式手工木偶定格动画风（HS-277）,animation,43.8,44.0333,references/style-examples/standard/hs-277.png
